y,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5
0,0,0,0,0,0,0
0.00048240845,3.3015849e-08,2.4398592e-12,-4.4228942e-31,1.167015e-14,2.8272968e-32,1.8864502e-48
0.00098049384,1.1234915e-07,1.1121239e-11,5.9417161e-31,5.2852109e-14,1.9344061e-32,2.030149e-48
0.0014947656,2.4571541e-07,3.4597432e-11,3.8473575e-30,2.0731342e-13,-2.0543953e-32,1.6065839e-48
0.0020257498,4.3434254e-07,8.0790171e-11,4.1626116e-30,6.3461722e-13,-1.7563097e-32,1.4920085e-48
0.0025739895,6.7929941e-07,1.5682639e-10,1.3420967e-29,1.5697307e-12,-3.3222021e-32,9.9226583e-49
0.0031400454,9.8146589e-07,2.6961444e-10,1.4849891e-29,3.3500721e-12,-4.3327177e-32,1.8939836e-48
0.0037244966,1.3414889e-06,4.2567503e-10,5.8037539e-30,6.4324446e-12,-1.6396197e-32,1.4219324e-48
0.0043279408,1.7597036e-06,6.3081487e-10,1.4407764e-29,1.1412833e-11,-4.4226584e-32,1.9682518e-48
0.0049509953,2.2360055e-06,8.8981158e-10,8.7942045e-30,1.9047869e-11,-3.3237068e-32,2.8645155e-48
0.0055942973,2.7696513e-06,1.2061393e-09,-5.0589002e-29,3.0277853e-11,1.1348485e-31,4.1468609e-48
0.0062585048,3.3589653e-06,1.581549e-09,-9.0745286e-29,4.6250318e-11,1.7653771e-31,5.3389547e-48
0.0069442972,4.0009345e-06,2.0154983e-09,-8.928367e-29,6.8342938e-11,1.6861147e-31,5.0240049e-48
0.007652376,4.690703e-06,2.5046707e-09,-7.744014e-29,9.8184835e-11,1.5704173e-31,3.1280482e-48
0.0083834654,5.4210222e-06,3.0423406e-09,5.1098443e-30,1.3767165e-10,-4.4739584e-32,1.9843171e-48
0.0091383131,6.1817988e-06,3.617749e-09,6.2630015e-29,1.8896989e-10,-1.6802797e-31,1.7660218e-48
0.0099176913,6.9599716e-06,4.2160778e-09,3.5670381e-29,2.5451093e-10,-7.3136679e-32,6.5512895e-49
0.010722397,7.739998e-06,4.8192617e-09,-7.4389266e-29,3.3696843e-10,1.5231268e-31,4.1476251e-48
0.011553254,8.5051305e-06,5.408143e-09,-1.927429e-28,4.3922254e-10,2.9324022e-31,8.9583124e-48
0.012411111,9.2393605e-06,5.9661559e-09,-9.6525891e-29,5.6431389e-10,2.1115216e-31,1.7504321e-47
0.013296846,9.9295093e-06,6.4835776e-09,-1.3862869e-29,7.1539884e-10,2.0722847e-31,2.0962854e-47
0.014211364,1.0566733e-05,6.9610119e-09,-2.6058412e-29,8.9572875e-10,1.271008e-31,8.9299124e-48
0.015155603,1.1146937e-05,7.4105603e-09,1.0478789e-29,1.1086585e-09,5.2849806e-32,1.4086802e-47
0.016130526,1.1670122e-05,7.85397e-09,-4.7133639e-29,1.3576654e-09,3.4189163e-33,1.6886599e-47
0.017137132,1.213915e-05,8.3181636e-09,8.6797804e-30,1.6463942e-09,1.0058655e-31,2.6180872e-47
0.018176449,1.2558474e-05,8.8301133e-09,-7.1927286e-29,1.9787017e-09,1.0959655e-31,2.5904084e-47
0.019249542,1.2933158e-05,9.4138007e-09,-2.3903166e-28,2.3587054e-09,-1.5441203e-31,4.2121724e-48
0.020357507,1.3268262e-05,1.008834e-08,-1.9035057e-28,2.7908067e-09,-1.4917852e-31,2.3681374e-48
0.021501477,1.3568519e-05,1.0867814e-08,6.2086066e-29,3.2797185e-09,1.4799501e-31,6.5329295e-48
0.022682624,1.3838198e-05,1.1761865e-08,2.9925216e-29,3.8304805e-09,2.400937e-31,9.1831521e-48
0.023902154,1.408107e-05,1.2777044e-08,-2.1952163e-28,4.4484961e-09,-3.7427701e-33,8.1092299e-48
0.025161316,1.4300424e-05,1.3917577e-08,-1.1459657e-28,5.1395535e-09,-1.3331102e-32,7.5117988e-48
0.026461397,1.449911e-05,1.518618e-08,1.1701675e-28,5.9098626e-09,2.415592e-31,1.2897327e-47
0.027803728,1.4679587e-05,1.6584862e-08,-2.9125858e-29,6.766075e-09,-2.1283778e-31,1.2781696e-47
0.02918968,1.4843974e-05,1.8115113e-08,-1.2577275e-28,7.7153214e-09,-2.7131359e-31,4.5195178e-48
0.030620672,1.4994095e-05,1.977847e-08,-2.4495939e-29,8.7652452e-09,-1.8285438e-31,8.0194057e-48
0.032098167,1.5131519e-05,2.1576713e-08,-4.1870712e-29,9.9240523e-09,-2.3130865e-31,9.9325361e-48
0.033623676,1.5257604e-05,2.3511904e-08,2.9999698e-29,1.1200529e-08,2.5672595e-31,1.1389492e-47
0.03519876,1.5373519e-05,2.5586246e-08,1.819275e-28,1.2604086e-08,8.5861093e-31,1.1697542e-47
0.03682503,1.5480281e-05,2.7802469e-08,4.2858242e-30,1.4144802e-08,1.4012491e-31,1.1696173e-47
0.03850415,1.5578769e-05,3.0163387e-08,-9.6942094e-30,1.5833464e-08,4.9669265e-32,1.2864048e-47
0.040237836,1.5669752e-05,3.2672503e-08,3.0860355e-28,1.7681636e-08,1.3509107e-30,1.2540488e-47
0.042027862,1.5753898e-05,3.5333675e-08,2.8881547e-28,1.9701707e-08,1.4623288e-30,2.5157704e-47
0.043876059,1.5831791e-05,3.8151351e-08,-1.4995351e-28,2.1906927e-08,-1.107161e-30,3.1164555e-47
0.045784317,1.5903946e-05,4.1130402e-08,-3.177011e-28,2.4311491e-08,-1.8101782e-30,1.8438035e-47
0.047754588,1.5970813e-05,4.4276004e-08,-2.4288788e-29,2.6930596e-08,4.3492114e-31,6.4172116e-48
0.049788888,1.6032789e-05,4.7593699e-08,1.780644e-28,2.9780503e-08,1.5564083e-30,4.6141122e-48
0.051889297,1.6090221e-05,5.1089458e-08,7.1470743e-29,3.2878596e-08,1.1145578e-31,3.7964055e-48
0.054057963,1.6143418e-05,5.476993e-08,1.0576027e-28,3.6243488e-08,5.6108647e-31,9.2747086e-48
0.056297104,1.6192651e-05,5.8641892e-08,8.5538922e-30,3.9895094e-08,-2.4917989e-31,2.0235035e-47
0.058609012,1.6238157e-05,6.2712728e-08,-6.6400948e-29,4.3854719e-08,-9.908672e-31,2.2106417e-47
0.06099605,1.6280147e-05,6.6990172e-08,4.4320659e-28,4.8145143e-08,3.74003e-30,7.8598608e-47
0.06346066,1.6318805e-05,7.148228e-08,1.9102473e-28,5.2790725e-08,1.6971877e-30,7.8230559e-47
0.066005363,1.635429e-05,7.6197687e-08,-1.9437868e-28,5.7817517e-08,-1.9306706e-30,1.1858091e-47
0.068632762,1.6386741e-05,8.1145298e-08,-4.607294e-29,6.3253355e-08,-8.2404835e-32,2.7567014e-48
0.071345544,1.6416279e-05,8.6334523e-08,1.0918986e-28,6.9128012e-08,1.7449324e-30,3.4376266e-48
0.074146484,1.6443005e-05,9.1775142e-08,7.669823e-29,7.5473294e-08,1.1403e-30,8.8149073e-48
0.077038447,1.6467005e-05,9.7477297e-08,1.2619709e-28,8.2323194e-08,2.2594654e-30,2.3712631e-47
0.08002439,1.6488348e-05,1.0345156e-07,-1.4726881e-30,8.9714033e-08,1.3608081e-30,2.2732675e-47
0.083107369,1.6507087e-05,1.0970883e-07,-2.8334012e-28,9.7684604e-08,-3.0096144e-30,9.4902443e-48
0.086290535,1.6523262e-05,1.1626036e-07,-1.1549187e-28,1.0627634e-07,-1.5569158e-30,1.6852685e-47
0.089577146,1.6536899e-05,1.2311768e-07,-3.3552514e-28,1.1553349e-07,-3.8553195e-30,3.1668425e-47
0.092970562,1.6548008e-05,1.3029258e-07,-2.885066e-28,1.2550329e-07,-2.4334447e-30,5.4763527e-47
0.096474255,1.6556588e-05,1.3779713e-07,-2.0362682e-29,1.3623617e-07,1.1873306e-31,1.127001e-46
0.10009181,1.6562622e-05,1.4564355e-07,-1.231427e-28,1.4778592e-07,-1.4779847e-30,7.7781277e-47
0.10382692,1.6566079e-05,1.5384419e-07,-4.2451483e-28,1.6020995e-07,-6.3840697e-30,8.7947433e-47
0.10768342,1.6566915e-05,1.6241145e-07,-4.7826059e-28,1.7356949e-07,-6.6468666e-30,1.0286691e-46
0.11166524,1.6565071e-05,1.7135763e-07,4.402455e-28,1.8792983e-07,9.3243035e-30,6.0998996e-47
0.11577645,1.6560471e-05,1.8069494e-07,2.7549062e-28,2.0336058e-07,5.0098188e-30,1.8992601e-46
0.12002127,1.6553026e-05,1.9043529e-07,3.4935794e-29,2.199359e-07,-4.5098257e-32,1.5653212e-46
0.12440404,1.6542629e-05,2.0059013e-07,1.6398413e-28,2.3773481e-07,1.6367742e-30,1.4092365e-46
0.12892923,1.6529155e-05,2.1117031e-07,6.5117602e-28,2.5684143e-07,1.0565959e-29,2.6804292e-46
0.13360148,1.6512463e-05,2.2218583e-07,4.2397221e-28,2.7734533e-07,1.0172183e-29,1.5624372e-46
0.13842557,1.6492389e-05,2.3364566e-07,-4.3088042e-28,2.9934176e-07,-2.445018e-30,3.8459122e-47
0.14340642,1.6468753e-05,2.4555735e-07,4.9127078e-28,3.2293204e-07,1.3854552e-29,5.9051101e-47
0.14854914,1.644135e-05,2.5792681e-07,-1.1828692e-28,3.4822382e-07,-6.5155729e-31,1.2986489e-46
0.15385898,1.6409953e-05,2.7075781e-07,-3.2527561e-28,3.7533142e-07,-7.8253867e-30,1.1368254e-46
0.15934138,1.6374311e-05,2.8405167e-07,9.3742981e-28,4.043762e-07,2.0219591e-29,2.6081436e-46
0.16500194,1.6334147e-05,2.9780656e-07,-8.3997207e-29,4.3548679e-07,8.6821491e-31,3.2031293e-46
0.17084645,1.6289156e-05,3.1201712e-07,-9.323649e-28,4.6879953e-07,-1.9571672e-29,1.1912639e-46
0.17688089,1.6239005e-05,3.2667356e-07,-2.2830586e-28,5.044587e-07,-9.8154635e-31,4.6882665e-47
0.18311143,1.618333e-05,3.4176104e-07,7.1348976e-28,5.4261687e-07,2.4535786e-29,1.4795122e-46
0.18954445,1.6121734e-05,3.5725868e-07,1.3570357e-27,5.8343514e-07,3.5609075e-29,2.1657141e-46
0.19618653,1.6053788e-05,3.7313835e-07,-5.5818967e-29,6.2708338e-07,-1.1757051e-30,1.5054422e-46
0.20304445,1.5979026e-05,3.8936383e-07,1.6850576e-29,6.7374049e-07,-1.0191172e-29,3.0848319e-46
0.21012524,1.5896949e-05,4.0588905e-07,-2.8466901e-28,7.235944e-07,-1.1198703e-29,1.0005738e-45
0.21743614,1.5807019e-05,4.2265704e-07,-5.8580329e-28,7.7684244e-07,-7.8217397e-31,8.2116642e-46
0.22498461,1.570866e-05,4.395977e-07,1.329172e-27,8.3369096e-07,3.2046254e-29,1.4083381e-45
0.23277839,1.5601261e-05,4.5662611e-07,2.0760965e-27,8.9435552e-07,3.945736e-29,1.6157097e-45
0.24082545,1.5484172e-05,4.7364016e-07,1.9877878e-27,9.5906044e-07,4.6882377e-29,3.6627314e-46
0.24913402,1.5356711e-05,4.9051806e-07,4.5937362e-28,1.0280385e-06,1.9652246e-29,3.4278237e-46
0.25771259,1.5218162e-05,5.0711582e-07,8.0470346e-28,1.1015303e-06,1.7313463e-29,5.3158558e-46
0.26656994,1.5067779e-05,5.2326373e-07,8.3994641e-28,1.1797835e-06,2.227656e-29,7.4360731e-46
0.27571513,1.4904796e-05,5.387631e-07,1.5814289e-27,1.2630513e-06,2.6402895e-29,1.2886837e-45
0.28515751,1.4728429e-05,5.5338104e-07,3.9113154e-28,1.3515914e-06,-2.3374659e-31,3.3597906e-45
0.29490674,1.453789e-05,5.6684604e-07,1.1700953e-28,1.4456647e-06,-9.1919189e-30,2.959225e-45
0.3049728,1.4332386e-05,5.7885122e-07,1.673635e-27,1.5455326e-06,4.3618356e-29,2.3552977e-45
0.31536597,1.4110723e-05,5.8908488e-07,1.4640579e-27,1.651455e-06,6.2151108e-29,2.2514265e-45
0.3260969,1.3870616e-05,5.9723242e-07,1.116856e-27,1.7636766e-06,5.2761291e-29,1.3471498e-45
0.33717655,1.3611005e-05,6.0291936e-07,2.5465393e-28,1.8824117e-06,5.2387192e-29,2.826597e-45
0.34861625,1.3333086e-05,6.0562309e-07,-5.2148917e-28,2.0078524e-06,3.560844e-29,5.8475554e-45
0.36042772,1.3037484e-05,6.0471933e-07,-9.9345172e-28,2.1401855e-06,1.9861383e-29,5.6247535e-45
0.37262303,1.2723995e-05,5.9955453e-07,9.5809825e-28,2.2795846e-06,3.053116e-29,3.8931393e-45
0.38521464,1.239259e-05,5.8941104e-07,-1.7071354e-28,2.4261911e-06,2.2392803e-29,2.8357986e-45
0.39821546,1.2043491e-05,5.7349664e-07,1.1015012e-27,2.5801051e-06,-2.9199567e-29,1.0417024e-44
0.41163876,1.1677225e-05,5.5094493e-07,2.131683e-27,2.7413766e-06,-2.4993223e-29,1.1983165e-44
0.42549828,1.1294676e-05,5.2082021e-07,-8.4259427e-28,2.9099957e-06,5.9539411e-29,4.3895224e-45
0.4398082,1.0897141e-05,4.8212457e-07,1.8446863e-27,3.085879e-06,-3.1246199e-29,4.9153461e-45
0.45458315,1.0486385e-05,4.3381191e-07,3.9216755e-27,3.2688539e-06,-1.6645098e-28,5.9845865e-45
0.46983824,1.0064693e-05,3.7480598e-07,-1.5737197e-27,3.4586738e-06,-1.2745285e-28,5.7479065e-45
0.48558908,9.6349075e-06,3.0400326e-07,-3.212135e-27,3.6551315e-06,-1.3243649e-28,4.5409535e-45
0.50185179,9.2004737e-06,2.2025114e-07,-2.9598809e-28,3.8582219e-06,-1.8832787e-30,3.0418843e-45
0.51864298,8.7654694e-06,1.225115e-07,5.8624291e-28,4.0666388e-06,8.31124e-29,6.0780503e-45
0.53597984,8.3445411e-06,-5.1781716e-09,6.5606809e-28,4.2761073e-06,-9.8135464e-29,9.1857525e-45
0.5538801,7.9753928e-06,-2.0055281e-07,-4.1176033e-28,4.4866536e-06,-1.0793184e-28,4.6052883e-45
0.57236207,7.6891983e-06,-4.7444831e-07,-2.9785002e-27,4.6977731e-06,3.4768376e-28,8.0036664e-45
0.59144465,7.469639e-06,-7.85882e-07,-4.0582997e-27,4.9074094e-06,4.1364941e-28,1.0733398e-44
0.61114736,7.2763872e-06,-1.0879646e-06,-2.8598195e-29,5.1184614e-06,4.1721699e-29,6.5875744e-45
0.63149036,7.083687e-06,-1.3570887e-06,5.0992623e-27,5.3320641e-06,5.3103655e-29,2.1176657e-44
0.65249445,6.8866801e-06,-1.5885668e-06,5.5000724e-27,5.5465528e-06,1.8074147e-28,2.92551e-44
0.67418111,6.6954866e-06,-1.7893138e-06,3.0362797e-27,5.7592302e-06,2.1392088e-28,1.228924e-44
0.69657252,6.5227276e-06,-1.9694934e-06,-2.0376135e-27,5.9674359e-06,-1.9857976e-28,1.6786933e-44
0.7196916,6.3734706e-06,-2.1359937e-06,-2.2666717e-27,6.1689287e-06,-1.6153763e-28,1.6023539e-44
0.74356198,6.2411187e-06,-2.2891487e-06,2.4699459e-27,6.3619824e-06,2.438185e-28,1.1248193e-44
0.76820808,6.1081496e-06,-2.4224884e-06,6.041307e-28,6.5453698e-06,-5.0294402e-29,2.960631e-44
0.79365511,5.94965e-06,-2.5245239e-06,-3.1615777e-27,6.7182595e-06,-3.9713229e-28,2.4679934e-44
0.8199291,5.7382956e-06,-2.5815058e-06,-7.0327739e-27,6.8800311e-06,-9.5760473e-28,4.4993903e-44
0.84705692,5.4499914e-06,-2.5802657e-06,-8.7208383e-27,7.0300253e-06,-1.8084615e-27,1.2451673e-43
0.87506632,5.0694887e-06,-2.5105842e-06,-1.1741522e-28,7.1672488e-06,1.703799e-28,1.0237094e-43
0.90398595,4.5950655e-06,-2.3668599e-06,8.8254408e-27,7.2901395e-06,3.1426598e-27,7.4752671e-44
0.93384539,4.0411841e-06,-2.1491066e-06,5.4522436e-27,7.3963109e-06,2.0258501e-27,5.9219935e-44
0.96467517,3.4383752e-06,-1.8634499e-06,1.0499288e-27,7.4824566e-06,-4.8732509e-29,2.24987e-45
0.99650683,2.8300203e-06,-1.5221027e-06,4.3566719e-28,7.5444869e-06,-5.731615e-28,5.2244679e-45
1.0293729,2.2659739e-06,-1.1427169e-06,8.8790161e-28,7.5776388e-06,7.0605678e-28,2.9639979e-44
1.0633071,1.7938881e-06,-7.4711697e-07,-9.006938e-29,7.5768754e-06,-4.5535653e-28,7.9802325e-44
1.098344,1.4504121e-06,-3.5955991e-07,-7.3304663e-28,7.5374208e-06,-8.8414122e-28,9.4818032e-44
1.1345196,1.2546223e-06,-4.9261094e-09,6.7008765e-28,7.4552267e-06,1.2723014e-27,7.4927526e-44
1.1718707,1.2049044e-06,2.9216866e-07,4.8520491e-29,7.3275879e-06,2.7007323e-28,3.9560624e-44
1.2104356,1.2796065e-06,5.0922249e-07,-3.482425e-28,7.1537813e-06,2.1222796e-27,7.1120542e-44
1.2502538,1.4430964e-06,6.3284444e-07,-8.9151185e-28,6.9355207e-06,3.7915364e-27,1.7373107e-43
1.291366,1.6573749e-06,6.6608486e-07,-2.1856807e-27,6.6767084e-06,3.8600674e-27,1.4971181e-43
1.3338142,1.8925963e-06,6.2692731e-07,-4.5692511e-27,6.3823226e-06,5.8093231e-27,9.6689433e-44
1.3776419,2.131205e-06,5.4065903e-07,-2.0302784e-27,6.056946e-06,2.553311e-27,9.234602e-44
1.4228938,2.3703079e-06,4.3701319e-07,1.9935709e-27,5.7068906e-06,-1.5759727e-27,6.9724257e-44
